"denominazione","Stato","codice.Istat","media","diff","TITOLO_DI_STUDIO","SESSO","PARTITO_LISTA_COALIZIONE","nord","eta_sindaco","grado.di.autonomia.impositiva","grado.di.dipendenza.da.contributi.e.trasferimenti.correnti","grado.di.finanziamento.interno","grado.di.autonomia.finanziaria","rigidit√..della.spesa","incidenza.spese.personale.su.spese.correnti","grado.di.dipendenza.da.finanziamento.esterno","incidenza.spese.personale.su.entrate..correnti","spese.per.rimborso.prestiti.in.relazione.alle.entrate.correnti","indice.di.consistenza.iniziale.dei.residui.passivi","capacit√..di.spesa"
"Terragnolo","0",22193,735,-38,"4","1",NA,"1",30,0.118727272727273,0.654888888888889,0.167666666666667,0.180444444444444,0.524727272727273,0.393,0.0702222222222222,0.300111111111111,0.214181818181818,NA,NA
"Terzolas","0",22195,628.5,33,"3","1",NA,"1",61,0.144,NA,0.244444444444444,0.292777777777778,0.380111111111111,0.330444444444444,0.0264444444444444,0.286777777777778,0.0934444444444444,0.361666666666667,NA
"Tesero","0",22196,2900.5,75,"4","0",NA,"1",29,0.252375,0.371714285714286,0.256857142857143,NA,0.37425,0.361142857142857,0.0354285714285714,0.302142857142857,0.06425,1.27771428571429,NA
"Tione di trento","0",22199,3634.5,33,"4","1",NA,"1",37,0.213818181818182,0.462222222222222,0.209222222222222,0.263777777777778,0.597909090909091,0.460333333333333,0.0693333333333333,0.423333333333333,0.179545454545455,NA,NA
"Ton","0",22200,1318,6,"3","1","Colore Politico non pervenuto","1",45,0.0992,0.7336,0.1012,0.132,0.4888,0.3222,0.066,NA,0.2006,NA,NA
"Torcegno","0",22202,695.5,-9,"3","0",NA,"1",58,0.14925,0.618714285714286,0.146428571428571,0.209714285714286,0.582625,0.418571428571429,0.0362857142857143,0.324142857142857,0.25125,0.965142857142857,NA
"Trambileno","0",22203,1417.5,113,"3","1","LISTA CIVICA","1",61,0.2063,0.589888888888889,0.149444444444444,0.218333333333333,0.4738,0.308777777777778,0.035,0.243555555555556,NA,1.18455555555556,NA
"Trento","0",22205,116839.5,5553,"4","1","Colore Politico non pervenuto","1",60,0.179909090909091,0.622666666666667,0.157222222222222,0.252222222222222,0.436090909090909,0.345666666666667,0.0306666666666667,0.339333333333333,0.0938181818181818,0.787777777777778,NA
"Valfloriana","0",22209,499.5,-51,"3","1",NA,"1",47,NA,0.5578,0.1716,0.211,NA,0.426,0.0086,0.387,0.0694,0.9172,NA
"Vallarsa","0",22210,1351.5,35,"4","1",NA,"1",28,0.2327,0.590625,0.108625,0.18925,NA,0.349125,0.05675,0.31775,0.1228,1.0275,NA
"Varena","0",22211,847,-2,"4","1",NA,"1",47,NA,0.233333333333333,0.313555555555556,0.378333333333333,0.410818181818182,0.417555555555556,0.00455555555555556,0.389222222222222,0.0308181818181818,1.03477777777778,NA
"Vermiglio","0",22213,1856,-20,"4","0","LISTA CIVICA","1",47,0.203636363636364,NA,0.379777777777778,0.451666666666667,NA,0.282444444444444,0.0378888888888889,0.233,0.109181818181818,0.710333333333333,NA
"Vignola-falesina","0",22216,171.5,11,NA,"1",NA,"1",44,0.148777777777778,0.670125,0.105,0.1305,0.467666666666667,0.53625,0.0065,NA,0.0378888888888889,1.52225,NA
"Villa lagarina","0",22222,3763,100,"3","0",NA,"1",47,0.277545454545455,0.482444444444444,NA,0.298111111111111,0.407818181818182,NA,0.0167777777777778,0.286333333333333,0.119272727272727,1.17322222222222,NA
"Volano","0",22224,3074,-88,"3","0",NA,"1",60,0.191333333333333,0.541333333333333,0.195222222222222,0.298666666666667,0.303777777777778,0.288555555555556,0.00155555555555556,0.279777777777778,0.0242222222222222,1.80888888888889,NA
"Zambana","0",22225,1662,84,"2","1",NA,"1",50,NA,0.557222222222222,0.219555555555556,NA,0.3845,0.345666666666667,0.0246666666666667,0.314555555555556,0.0675,0.661222222222222,NA
"Ziano di fiemme","0",22226,1718,78,"2","1","Lista Civica non pervenuta","1",53,0.310545454545455,0.287555555555556,0.285666666666667,0.314444444444444,0.375545454545455,0.308,0.0638888888888889,0.258111111111111,0.132272727272727,0.827888888888889,NA
"Affi","0",23001,2326,64,"3","1","LISTA CIVICA: FUTURO INSIEME","1",51,0.688363636363636,0.126666666666667,0.164888888888889,0.696111111111111,0.310363636363636,0.280777777777778,0.0506666666666667,NA,0.055,0.477333333333333,0.727909090909091
"Albaredo dadige","0",23002,5244.5,-31,"3","1",NA,"1",32,0.580818181818182,0.191555555555556,NA,0.620555555555556,0.332909090909091,0.300777777777778,0.0408888888888889,0.277777777777778,NA,0.607222222222222,0.744636363636364
"Angiari","0",23003,2225.5,105,"4","1","LISTA CIVICA: VALORI SOCIALI","1",61,0.661272727272727,0.160888888888889,0.168555555555556,0.624222222222222,NA,0.307333333333333,0.00922222222222222,0.312777777777778,0.0477272727272727,0.515222222222222,0.723727272727273
